date, pm25, pm10, o3, no2, so2, co
2022/10/1, 29, 15, 5, 20, 16, 8
2022/10/2, 22, 23, 6, 24, 16, 11
2022/10/3, 37, 28, 7, 28, 16, 10
2022/10/4, 44, 27, 6, 30, 16, 8
2022/10/5, 41, 28, 7, 31, 16, 10
2022/10/6, 44, 27, 6, 33, 16, 12
2022/10/7, 41, 24, 8, 32, 16, 9
2022/10/8, 37, 20, 6, 22, 16, 4
2022/10/9, 33, 14, 10, 23, 16, 5
2022/10/10, 19, 37, 14, 26, 16, 6
2022/10/11, 60, 34, 20, 37, 16, 6
2022/10/12, 49, 35, 22, 40, 16, 10
2022/10/13, 52, 42, 20, 33, 17, 6
2022/10/14, 70, 35, 23, 34, 16, 7
2022/10/15, 55, 40, 19, 31, 16, 6
2022/10/16, 70, 24, 20, 27, 16, 5
2022/10/17, 38, 31, 25, 29, 16, 4
2022/10/18, 48, 35, 14, 31, 16, 6
2022/10/19, 59, 12, 10, 18, 16, 2
2022/10/20, 24, 15, 4, 22, 16, 5
2022/10/21, 27, 30, 8, 29, 16, 12
2022/10/22, 48, 42, 12, 34, 17, 12
2022/10/23, 66, 48, 19, 36, 17, 9
2022/10/24, 86, 36, 14, 37, 16, 9
2022/10/25, 60, 46, 10, 34, 16, 9
2022/10/26, 80, 34, 6, 31, 17, 9
2022/10/27, 50, 39, 8, 44, 17, 12
2022/10/28, 55, 48, 21, 40, 17, 9
2022/10/29, 84, 39, 16, 30, 16, 7
2022/10/30, 70, 18, 10, 22, 17, 4
2022/10/31, 29, 21, 13, 28, 17, 6
2022/11/1, 30, 29, 17, 38, 17, 12
2022/11/2, 47, 5, 20, 45, 18, 15
2022/11/3, 11, 5, 17, 40, 19, 11
2022/11/4, 10, 4, 19, 32, 18, 6
2022/11/5, 8, 5, 22, 35, 18, 7
2022/11/6, 9, 26, 7, 47, 18, 12
2022/11/7, 43, 54, 18, 37, 18, 9
2022/11/8, 101, 49, 18, 35, 18, 8
2022/11/9, 92, 44, 2, 36, 19, 12
2022/11/10, 77, 38, 2, 34, 19, 11
2022/11/11, 66, 28, 4, 33, 19, 10
2022/11/12, 44, 36, 3, 33, 19, 9
2022/11/13, 60, 34, 4, 37, 19, 15
2022/11/14, 53, 28, 2, 29, 19, 11
2022/11/15, 47, 21, 3, 28, 19, 9
2022/11/16, 34, 16, 3, 22, 19, 9
2022/11/17, 25, 19, 3, 25, 18, 9
2022/11/18, 29, 22, 3, 28, 17, 11
2022/11/19, 33, 26, 7, 24, 17, 7
2022/11/20, 42, 41, 4, 37, 17, 11
2022/11/21, 67, 41, 7, 31, 17, 8
2022/11/22, 73, 35, 6, 26, 17, 8
2022/11/23, 62, 21, 2, 19, 17, 5
2022/11/24, 38, 24, 1, 21, 17, 8
2022/11/25, 40, 27, 2, 18, 17, 10
2022/11/26, 45, 17, 3, 17, 17, 3
2022/11/27, 26, 15, 3, 20, 17, 6
2022/11/28, 21, 19, 4, 21, 17, 7
2022/11/29, 28, 13, 3, 17, 17, 6
2022/11/30, 19, 1, 1, 13, 17, 3
2022/12/1, 3, 12, 4, 15, 17, 3
2022/12/2, 22, 22, 5, 23, 17, 5
2022/12/3, 38, 17, 2, 14, 17, 3
2022/12/4, 30, 13, 3, 17, 17, 4
