date, pm25, pm10, o3, no2, so2, co
10/1/2022,29,15,5,20,16,8
10/2/2022,22,23,6,24,16,11
10/3/2022,37,28,7,28,16,10
10/4/2022,44,27,6,30,16,8
10/5/2022,41,28,7,31,16,10
10/6/2022,44,27,6,33,16,12
10/7/2022,41,24,8,32,16,9
10/8/2022,37,20,6,22,16,4
10/9/2022,33,14,10,23,16,5
10/10/2022,19,37,14,26,16,6
10/11/2022,60,34,20,37,16,6
10/12/2022,49,35,22,40,16,10
10/13/2022,52,42,20,33,17,6
10/14/2022,70,35,23,34,16,7
10/15/2022,55,40,19,31,16,6
10/16/2022,70,24,20,27,16,5
10/17/2022,38,31,25,29,16,4
10/18/2022,48,35,14,31,16,6
10/19/2022,59,12,10,18,16,2
10/20/2022,24,15,4,22,16,5
10/21/2022,27,30,8,29,16,12
10/22/2022,48,42,12,34,17,12
10/23/2022,66,48,19,36,17,9
10/24/2022,86,36,14,37,16,9
10/25/2022,60,46,10,34,16,9
10/26/2022,80,34,6,31,17,9
10/27/2022,50,39,8,44,17,12
10/28/2022,55,48,21,40,17,9
10/29/2022,84,39,16,30,16,7
10/30/2022,70,18,10,22,17,4
10/31/2022,29,21,13,28,17,6
11/1/2022,30,29,17,38,17,12
11/2/2022,47,5,20,45,18,15
11/3/2022,11,5,17,40,19,11
11/4/2022,10,4,19,32,18,6
11/5/2022,8,5,22,35,18,7
11/6/2022,9,26,7,47,18,12
11/7/2022,43,54,18,37,18,9
11/8/2022,101,49,18,35,18,8
11/9/2022,92,44,2,36,19,12
11/10/2022,77,38,2,34,19,11
11/11/2022,66,28,4,33,19,10
11/12/2022,44,36,3,33,19,9
11/13/2022,60,34,4,37,19,15
11/14/2022,53,28,2,29,19,11
11/15/2022,47,21,3,28,19,9
11/16/2022,34,16,3,22,19,9
11/17/2022,25,19,3,25,18,9
11/18/2022,29,22,3,28,17,11
11/19/2022,33,26,7,24,17,7
11/20/2022,42,41,4,37,17,11
11/21/2022,67,41,7,31,17,8
11/22/2022,73,35,6,26,17,8
11/23/2022,62,21,2,19,17,5
11/24/2022,38,24,1,21,17,8
11/25/2022,40,27,2,18,17,10
11/26/2022,45,17,3,17,17,3
11/27/2022,26,15,3,20,17,6
11/28/2022,21,19,4,21,17,7
11/29/2022,28,13,3,17,17,6
11/30/2022,19,1,1,13,17,3
12/1/2022,3,12,4,15,17,3
12/2/2022,22,22,5,23,17,5
12/3/2022,38,17,2,14,17,3
12/4/2022,30,13,3,17,17,4
12/5/2022,20,34,5,28,17,8
12/6/2022,58,39,7,24,17,5
12/7/2022,71,27,2,18,17,5
12/8/2022,50,26,2,17,17,4
12/9/2022,49,23,2,17,17,4
12/10/2022,43,33,7,26,17,7
12/11/2022,57,35,15,32,17,11
12/12/2022,64,34,11,45,17,9
12/13/2022,56,31,17,33,17,7
12/14/2022,53,35,14,47,18,9
12/15/2022,59,40,22,44,18,9
12/16/2022,72,19,13,25,17,4
12/17/2022,31,13,15,25,17,3
12/18/2022,21,30,14,41,17,8
12/19/2022,52,41,9,49,17,9
12/20/2022,70,29,18,40,18,13
12/21/2022,49,40,17,41,18,9
12/22/2022,71,28,8,45,18,8
12/23/2022,49,21,16,44,18,8
12/24/2022,39,19,8,42,18,7
12/25/2022,36,11,6,43,18,10
12/26/2022,23,9,5,43,18,10
12/27/2022,19,10,4,27,18,4
12/28/2022,20,19,5,17,18,4
12/29/2022,53,33,5,21,18,5
12/30/2022,94,47,5,23,18,5
12/31/2022,129,54,11,32,18,7
7/1/2022,37,17,9,21,14,3
7/2/2022,24,15,11,22,14,3
7/3/2022,21,22,11,28,14,5
7/4/2022,33,22,8,27,14,8
7/5/2022,32,33,10,31,14,9
7/6/2022,53,19,6,23,14,10
7/7/2022,28,25,6,27,14,10
7/8/2022,39,32,6,25,14,9
7/9/2022,51,26,8,21,14,4
7/10/2022,43,20,6,25,14,5
7/11/2022,31,19,6,25,15,8
7/12/2022,30,20,7,24,15,7
